
# time  N22        N23        
    0.        629.4861n  629.4852n 
    1.59000p  344.6053m  166.9866m 
    1.60000p  346.4618m  167.6095m 
    1.61000p  348.2013m  168.0022m 
    1.62000p  349.9220m  168.3582m 
    1.63000p  351.6427m  168.7141m 
    1.64000p  353.3634m  169.0700m 
    1.65000p  355.0841m  169.4259m 
    1.66000p  356.8048m  169.7818m 
    1.67000p  358.5256m  170.1378m 
    1.68000p  360.2463m  170.4937m 
    1.69000p  361.9670m  170.8496m 
    1.70000p  363.6877m  171.2055m 
    1.71000p  365.4084m  171.5615m 
    1.72000p  367.1291m  171.9174m 
    1.73000p  368.8498m  172.2733m 
    1.74000p  370.5705m  172.6292m 
    1.75000p  372.2913m  172.9851m 
    1.76000p  374.0120m  173.3411m 
    1.77000p  375.7327m  173.6970m 
    1.78000p  377.4534m  174.0529m 
    1.79000p  379.1741m  174.4088m 
    1.80000p  380.8948m  174.7648m 
    1.81000p  382.6155m  175.1207m 
    1.82000p  384.3363m  175.4766m 
    1.83000p  386.0570m  175.8325m 
    1.84000p  387.7777m  176.1884m 
    1.85000p  389.4984m  176.5444m 
    1.86000p  391.2191m  176.9003m 
    1.87000p  392.9398m  177.2562m 
    1.88000p  394.6605m  177.6121m 
    1.89000p  396.3813m  177.9681m 
    1.90000p  398.1020m  178.3240m 
    1.91000p  399.8227m  178.6799m 
    1.92000p  401.5434m  179.0358m 
    1.93000p  403.2641m  179.3917m 
    1.94000p  404.9848m  179.7477m 
    1.95000p  406.7055m  180.1036m 
    1.96000p  408.4168m  180.3844m 
    1.97000p  410.1020m  180.4580m 
    1.98000p  411.7873m  180.5317m 
    1.99000p  413.4725m  180.6054m 
    2.00000p  415.1577m  180.6791m 
    2.01000p  416.8430m  180.7527m 
    2.02000p  418.5282m  180.8264m 
    2.03000p  420.2134m  180.9001m 
    2.04000p  421.8987m  180.9737m 
    2.05000p  423.5839m  181.0474m 
    2.06000p  425.2691m  181.1211m 
    2.07000p  426.9543m  181.1948m 
    2.08000p  428.6396m  181.2684m 
    2.09000p  430.3248m  181.3421m 
    2.10000p  432.0100m  181.4158m 
    2.11000p  433.6953m  181.4895m 
    2.12000p  435.3805m  181.5631m 
    2.13000p  437.0657m  181.6368m 
    2.14000p  438.7510m  181.7105m 
    2.15000p  440.4362m  181.7841m 
    2.16000p  442.1214m  181.8578m 
    2.17000p  443.8067m  181.9315m 
    2.18000p  445.4919m  182.0052m 
    2.19000p  447.1771m  182.0788m 
    2.20000p  448.8624m  182.1525m 
    2.21000p  450.5476m  182.2262m 
    2.22000p  452.2328m  182.2998m 
    2.23000p  453.9180m  182.3735m 
    2.24000p  455.6033m  182.4472m 
    2.25000p  457.2885m  182.5209m 
    2.26000p  458.9737m  182.5945m 
    2.27000p  460.6590m  182.6682m 
    2.28000p  462.3442m  182.7419m 
    2.29000p  464.0255m  182.6775m 
    2.30000p  465.7004m  182.3876m 
    2.31000p  467.3753m  182.0978m 
    2.32000p  469.0503m  181.8079m 
    2.33000p  470.7252m  181.5181m 
    2.34000p  472.4001m  181.2282m 
    2.35000p  474.0750m  180.9384m 
    2.36000p  475.7499m  180.6485m 
    2.37000p  477.4248m  180.3587m 
    2.38000p  479.0997m  180.0688m 
    2.39000p  480.7746m  179.7790m 
    2.40000p  482.4496m  179.4891m 
    2.41000p  484.1245m  179.1993m 
    2.42000p  485.7994m  178.9094m 
    2.43000p  487.4743m  178.6196m 
    2.44000p  489.1492m  178.3297m 
    2.45000p  490.8241m  178.0399m 
    2.46000p  492.4990m  177.7500m 
    2.47000p  494.1740m  177.4602m 
    2.48000p  495.8489m  177.1703m 
    2.49000p  497.5238m  176.8805m 
    2.50000p  499.1987m  176.5906m 
    2.51000p  500.8736m  176.3008m 
    2.52000p  502.5485m  176.0109m 
    2.53000p  504.2234m  175.7211m 
    2.54000p  505.8983m  175.4312m 
    2.55000p  507.5630m  174.9977m 
    2.56000p  509.2184m  174.4343m 
    2.57000p  510.8738m  173.8709m 
    2.58000p  512.5292m  173.3075m 
    2.59000p  514.1847m  172.7441m 
    2.60000p  515.8401m  172.1807m 
    2.61000p  517.4955m  171.6173m 
    2.62000p  519.1509m  171.0539m 
    2.63000p  520.8063m  170.4905m 
    2.64000p  522.4617m  169.9272m 
    2.65000p  524.1171m  169.3638m 
    2.66000p  525.7725m  168.8004m 
    2.67000p  527.4279m  168.2370m 
    2.68000p  529.0833m  167.6736m 
    2.69000p  530.7387m  167.1102m 
    2.70000p  532.3941m  166.5468m 
    2.71000p  534.0496m  165.9834m 
    2.72000p  535.7050m  165.4200m 
    2.73000p  537.3604m  164.8566m 
    2.74000p  539.0158m  164.2932m 
    2.75000p  540.6712m  163.7298m 
    2.76000p  542.3266m  163.1664m 
    2.77000p  543.9820m  162.6030m 
    2.78000p  545.6374m  162.0396m 
    2.79000p  547.2928m  161.4762m 
    2.80000p  548.9482m  160.9128m 
    2.81000p  550.6036m  160.3494m 
    2.82000p  552.2591m  159.7860m 
    2.83000p  553.9145m  159.2226m 
    2.84000p  555.5699m  158.6592m 
    2.85000p  557.2253m  158.0958m 
    2.86000p  558.8807m  157.5324m 
    2.87000p  560.5361m  156.9690m 
    2.88000p  562.1915m  156.4056m 
    2.89000p  563.7349m  155.6660m 
    2.90000p  565.2480m  154.8786m 
    2.91000p  566.7610m  154.0912m 
    2.92000p  568.2741m  153.3038m 
    2.93000p  569.7872m  152.5163m 
    2.94000p  571.3002m  151.7289m 
    2.95000p  572.8133m  150.9415m 
    2.96000p  574.3263m  150.1541m 
    2.97000p  575.8394m  149.3667m 
    2.98000p  577.3525m  148.5793m 
    2.99000p  578.8655m  147.7919m 
    3.00000p  580.3786m  147.0045m 
    3.01000p  581.8916m  146.2171m 
    3.02000p  583.4047m  145.4297m 
    3.03000p  584.9178m  144.6422m 
    3.04000p  586.4308m  143.8548m 
    3.05000p  587.9439m  143.0674m 
    3.06000p  589.4569m  142.2800m 
    3.07000p  590.9700m  141.4926m 
    3.08000p  592.4831m  140.7052m 
    3.09000p  593.9961m  139.9178m 
    3.10000p  595.5092m  139.1304m 
    3.11000p  597.0222m  138.3430m 
    3.12000p  598.5353m  137.5555m 
    3.13000p  600.0484m  136.7681m 
    3.14000p  601.5614m  135.9807m 
    3.15000p  603.0745m  135.1933m 
    3.16000p  604.5875m  134.4059m 
    3.17000p  606.1006m  133.6185m 
    3.18000p  607.5217m  132.8079m 
    3.19000p  608.5987m  131.9107m 
    3.20000p  609.6758m  131.0134m 
